time,open,high,low,close,Volume
1746524700,23012.77,23039.27,23004.76,23035.76,678
1746525000,23035.76,23095.27,23028.76,23092.26,1057
1746525300,23092.26,23118.28,23085.26,23115.27,764
1746525600,23115.27,23117.27,23089.77,23093.77,842
1746525900,23093.77,23100.27,23083.77,23086.27,590
1746526200,23086.27,23117.27,23072.27,23109.77,607
1746526500,23109.77,23145.27,23102.76,23134.76,648
1746526800,23134.76,23153.77,23133.78,23144.78,582
1746527100,23144.78,23154.27,23137.26,23138.76,583
1746527400,23138.76,23170.27,23132.76,23168.26,626
1746527700,23168.26,23183.26,23166.77,23178.26,549
1746528000,23178.26,23181.78,23164.76,23167.26,524
1746528300,23167.26,23195.27,23167.26,23194.26,474
1746528600,23194.26,23202.77,23181.76,23196.78,590
1746528900,23196.78,23206.28,23178.27,23205.28,590
1746529200,23205.28,23209.27,23180.78,23204.76,737
1746529500,23204.76,23213.77,23201.76,23203.26,370
1746529800,23203.26,23220.76,23201.76,23215.77,513
1746530100,23215.77,23230.76,23204.78,23225.76,488
1746530400,23225.76,23235.76,23178.26,23199.26,1036
1746530700,23199.26,23208.78,23190.78,23202.28,580
1746531000,23202.28,23215.26,23194.76,23202.77,597
1746531300,23202.77,23227.78,23202.76,23213.78,466
1746531600,23213.78,23230.76,23210.77,23227.78,415
1746531900,23227.78,23232.27,23206.77,23209.77,464
1746532200,23209.77,23212.77,23181.77,23199.28,588
1746532500,23199.28,23229.28,23198.76,23224.76,479
1746532800,23224.76,23232.76,23213.77,23228.77,696
1746533100,23228.77,23258.76,23225.78,23241.78,614
1746533400,23241.78,23253.78,23229.77,23241.27,521
1746533700,23241.27,23247.77,23230.78,23243.77,489
1746534000,23243.77,23250.27,23234.76,23243.78,381
1746534300,23243.78,23244.77,23227.68,23235.26,397
1746534600,23235.26,23245.26,23226.26,23243.28,515
1746534900,23243.28,23255.28,23231.28,23232.28,409
1746535200,23232.28,23267.28,23231.77,23259.77,491
1746535500,23259.77,23287.77,23256.27,23271.77,566
1746535800,23271.77,23283.78,23267.28,23280.78,352
1746536100,23280.78,23284.77,23270.26,23279.78,501
1746536400,23279.78,23293.76,23266.76,23268.28,667
1746536700,23268.28,23283.27,23266.77,23273.27,519
1746537000,23273.27,23281.76,23265.28,23271.78,417
1746537300,23271.78,23274.26,23242.78,23256.26,494
1746537600,23256.26,23262.28,23240.77,23245.76,424
1746537900,23245.76,23250.77,23223.26,23228.27,493
1746538200,23228.27,23262.27,23220.28,23262.26,1203
1746538500,23262.26,23270.26,23248.76,23262.78,970
1746538800,23262.78,23271.77,23243.76,23246.28,882
1746539100,23246.28,23251.76,23221.77,23222.26,1068
1746539400,23222.26,23225.76,23190.27,23198.78,1020
1746539700,23198.78,23235.78,23193.28,23214.27,799
